audio_path	transcript	phoneme_transcript
/home4/khanhnd/vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R001.wav	khách sạn	x#E_X5b#k5b#_5b# s#a6a#n6a#_6a#
/home4/khanhnd/vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R002.wav	chỉ bằng cách luôn nỗ lực thì cuối cùng bạn mới được đền đáp	ts#i3#_3# b#a_X2#N2#_2# k#E_X5b#k5b#_5b# l#uo1#n1#_1# n#o4#_4# l#M6b#k6b#_6b# t_h#i2#_2# k#uo5a#j5a#_5a# k#u2#Nm2#_2# b#a6a#n6a#_6a# m#75a#j5a#_5a# d#M76b#k6b#_6b# d#e2#n2#_2# d#a5b#p5b#_5b#
/home4/khanhnd/vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R003.wav	trong số các quốc gia công nghiệp phát triển	ts#O_X1#Nm1#_1# s#o5a#_5a# k#a5b#k5b#_5b# k#uo5b#k5b#_5b# z#a1#_1# k#o1#Nm1#_1# N#ie6b#p6b#_6b# f#a5b#t5b#_5b# ts#ie3#n3#_3#
/home4/khanhnd/vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R004.wav	anh đã nhìn thấy trong những lải nhải dông dài của nhu	E_X1#J1#_1# d#a4#_4# J#i2#n2#_2# t_h#7_X5a#j5a#_5a# ts#O_X1#Nm1#_1# J#M4#N4#_4# l#a3#j3#_3# J#a3#j3#_3# z#o1#Nm1#_1# z#a2#j2#_2# k#uo3#_3# J#u1#_1#
/home4/khanhnd/vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R005.wav	khủng hoảng môi trường cần được ngăn chặn	x#u3#Nm3#_3# h#wp3#a3#N3#_3# m#o1#j1#_1# ts#M72#N2#_2# k#7_X2#n2#_2# d#M76b#k6b#_6b# N#a_X1#n1#_1# ts#a_X6a#n6a#_6a#
/home4/khanhnd/vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R006.wav	trông thấy tàu cá đằng xa anh đã ấn còi cảnh báo	ts#o1#Nm1#_1# t_h#7_X5a#j5a#_5a# t#a_X2#w2#_2# k#a5a#_5a# d#a_X2#N2#_2# s#a1#_1# E_X1#J1#_1# d#a4#_4# 7_X5a#n5a#_5a# k#O2#j2#_2# k#E_X3#J3#_3# b#a5a#w5a#_5a#
/home4/khanhnd/vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R007.wav	mấy sào ruộng của gia đình ông đành bỏ hoang cho cỏ mọc	m#7_X5a#j5a#_5a# s#a2#w2#_2# z#uo6a#N6a#_6a# k#uo3#_3# z#a1#_1# d#i2#J2#_2# o1#Nm1#_1# d#E_X2#J2#_2# b#O3#_3# h#wp1#a1#N1#_1# ts#O1#_1# k#O3#_3# m#O_X6b#kp6b#_6b#
/home4/khanhnd/vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R008.wav	có đêm gặp phải heo nọc nó rượt	k#O5a#_5a# d#e1#m1#_1# G#a_X6b#p6b#_6b# f#a3#j3#_3# h#E1#w1#_1# n#O_X6b#kp6b#_6b# n#O5a#_5a# z#M76b#t6b#_6b#
/home4/khanhnd/vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R009.wav	các bàn học nhỏ hằng ngày nay trở thành bàn thờ của các cháu	k#a5b#k5b#_5b# b#a2#n2#_2# h#O_X6b#kp6b#_6b# J#O3#_3# h#a_X2#N2#_2# N#a_X2#j2#_2# n#a_X1#j1#_1# ts#73#_3# t_h#E_X2#J2#_2# b#a2#n2#_2# t_h#72#_2# k#uo3#_3# k#a5b#k5b#_5b# ts#a_X5a#w5a#_5a#
/home4/khanhnd/vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R010.wav	cha mẹ tôi thường chì chiết nhau bằng những lời lẽ khó nghe	ts#a1#_1# m#E6a#_6a# t#o1#j1#_1# t_h#M72#N2#_2# ts#i2#_2# ts#ie5b#t5b#_5b# J#a_X1#w1#_1# b#a_X2#N2#_2# J#M4#N4#_4# l#72#j2#_2# l#E4#_4# x#O5a#_5a# N#E1#_1#
/home4/khanhnd/vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R011.wav	hấp dẫn nhất là cuộc thi bơi thuyền truyền thống	h#7_X5b#p5b#_5b# z#7_X4#n4#_4# J#7_X5b#t5b#_5b# l#a2#_2# k#uo6b#k6b#_6b# t_h#i1#_1# b#71#j1#_1# t_h#wp2#ie2#n2#_2# ts#wp2#ie2#n2#_2# t_h#o5a#Nm5a#_5a#
/home4/khanhnd/vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R012.wav	với những cờ líp nhạc truyền hình	v#75a#j5a#_5a# J#M4#N4#_4# k#72#_2# l#i5b#p5b#_5b# J#a6b#k6b#_6b# ts#wp2#ie2#n2#_2# h#i2#J2#_2#
/home4/khanhnd/vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R013.wav	một trong những cách tốt nhất	m#o6b#t6b#_6b# ts#O_X1#Nm1#_1# J#M4#N4#_4# k#E_X5b#k5b#_5b# t#o5b#t5b#_5b# J#7_X5b#t5b#_5b#
/home4/khanhnd/vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R014.wav	ăn cắp phỗng tượng	a_X1#n1#_1# k#a_X5b#p5b#_5b# f#o4#Nm4#_4# t#M76a#N6a#_6a#
